2025-07-23 10:12:47,469 | test_model | INFO | Splitting table: 9 train / 5 test
2025-07-23 10:12:47,469 | App.model | INFO | NaiveBayesClassifier initialized
2025-07-23 10:12:47,469 | App.model | INFO | Starting model creation process
2025-07-23 10:12:47,469 | App.model | INFO | Creating initial structure for model
2025-07-23 10:12:47,470 | App.model | INFO | Initial structure created successfully
2025-07-23 10:12:47,470 | App.model | INFO | Calculating target value ratios
2025-07-23 10:12:47,471 | App.model | INFO | Calculating conditional probabilities
2025-07-23 10:12:47,474 | App.model | INFO | Probabilities assigned successfully
2025-07-23 10:12:47,474 | App.model | INFO | Model created successfully
2025-07-23 10:12:47,474 | test_model | INFO | TestTable initialized successfully
2025-07-23 10:12:47,474 | test_model | INFO | Running test...
2025-07-23 10:12:47,475 | App.model | INFO | Calculating target value ratios
2025-07-23 10:12:47,475 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:12:47,475 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:12:47,475 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:12:47,475 | App.naive_bayes | INFO | Prediction result: no
2025-07-23 10:12:47,475 | App.model | INFO | Calculating target value ratios
2025-07-23 10:12:47,476 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:12:47,476 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:12:47,476 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:12:47,476 | App.naive_bayes | INFO | Prediction result: no
2025-07-23 10:12:47,476 | App.model | INFO | Calculating target value ratios
2025-07-23 10:12:47,476 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:12:47,476 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:12:47,476 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:12:47,476 | App.naive_bayes | INFO | Prediction result: no
2025-07-23 10:12:47,476 | App.model | INFO | Calculating target value ratios
2025-07-23 10:12:47,477 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:12:47,477 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:12:47,477 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:12:47,477 | App.naive_bayes | INFO | Prediction result: no
2025-07-23 10:12:47,477 | App.model | INFO | Calculating target value ratios
2025-07-23 10:12:47,477 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:12:47,477 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:12:47,477 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:12:47,477 | App.naive_bayes | INFO | Prediction result: yes
2025-07-23 10:12:47,477 | test_model | INFO | Successful on 1 from 5, -> 20% success
2025-07-23 10:12:47,477 | __main__ | WARNING | Model accuracy is too low. Server will not start.
2025-07-23 10:13:25,002 | __main__ | INFO | Starting application
2025-07-23 10:13:25,002 | __main__ | INFO | Loading CSV file from path: C:\Users\User\PycharmProjects\NaiveBayes\data\FlavorSense.csv
2025-07-23 10:13:25,002 | loader | INFO | Loading file: C:\Users\User\PycharmProjects\NaiveBayes\data\FlavorSense.csv
2025-07-23 10:13:25,014 | loader | INFO | File loaded successfully: C:\Users\User\PycharmProjects\NaiveBayes\data\FlavorSense.csv
2025-07-23 10:13:25,033 | loader | INFO | File converted and saved as CSV: C:\Users\User\PycharmProjects\NaiveBayes\data\FlavorSense.csv
2025-07-23 10:13:25,033 | cleam_table | INFO | CleanTable initialized
2025-07-23 10:13:25,033 | cleam_table | INFO | Starting cleaning process
2025-07-23 10:13:25,037 | cleam_table | INFO | drop_index: dropped 0 columns considered as index
2025-07-23 10:13:25,039 | cleam_table | INFO | drop_null: dropped 3145 rows with nulls
2025-07-23 10:13:25,369 | cleam_table | INFO | drop_duplicate: dropped 0 duplicated columns
2025-07-23 10:13:25,369 | cleam_table | INFO | Cleaning process completed
2025-07-23 10:13:25,369 | __main__ | INFO | CleanTable created
2025-07-23 10:13:25,369 | test_model | INFO | Initializing TestTable...
2025-07-23 10:13:25,369 | test_model | INFO | Splitting table: 4798 train / 2057 test
2025-07-23 10:13:25,369 | App.model | INFO | NaiveBayesClassifier initialized
2025-07-23 10:13:25,369 | App.model | INFO | Starting model creation process
2025-07-23 10:13:25,369 | App.model | INFO | Creating initial structure for model
2025-07-23 10:13:25,372 | App.model | INFO | Initial structure created successfully
2025-07-23 10:13:25,372 | App.model | INFO | Calculating target value ratios
2025-07-23 10:13:25,373 | App.model | INFO | Calculating conditional probabilities
2025-07-23 10:13:25,393 | App.model | INFO | Probabilities assigned successfully
2025-07-23 10:13:25,393 | App.model | INFO | Model created successfully
2025-07-23 10:13:25,393 | test_model | INFO | TestTable initialized successfully
2025-07-23 10:13:25,393 | test_model | INFO | Running test...
2025-07-23 10:13:25,475 | App.model | INFO | Calculating target value ratios
2025-07-23 10:13:25,476 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:13:25,476 | App.naive_bayes | INFO | Calculating posteriors...
2025-07-23 10:13:25,476 | App.naive_bayes | INFO | Posterior calculation completed
2025-07-23 10:13:25,476 | App.naive_bayes | INFO | Prediction result: Sour
2025-07-23 10:13:25,476 | App.model | INFO | Calculating target value ratios
2025-07-23 10:13:25,476 | App.naive_bayes | INFO | Making prediction...
2025-07-23 10:13:25,477 | App.naive_bayes | INFO | Calculating posteriors...
